school_district,count
los angeles unified school district,62084
san diego city unified school district,14596
grossmont union high school district,12698
san francisco unified school district,11895
irvine unified school district,11744
capistrano unified school district,11275
corona-norco unified school district,6611
saddleback valley unified school district,6561
oakland unified school district,6388
chaffey joint union high school district,6116
elk grove unified school district,6097
anaheim union high school district,5889
fremont unified school district,5695
poway unified school district,5150
san mateo union high school district,5142
mount diablo unified school district,5059
san jose unified school district,5031
huntington beach union high school district,4893
east side union high school district,4867
campbell union high school district,4834
william s. hart union high school district,4783
san juan unified school district,4688
san ramon valley unified school district,4640
orange unified school district,4546
glendale unified school district,4295
sequoia union high school district,4228
long beach unified school district,3906
kern high school district,3832
newport-mesa unified school district,3737
san dieguito union high school district,3605
fremont union high school district,3599
santa clara unified school district,3372
west contra costa unified school district,3367
roseville joint union high school district,3351
tustin unified school district,3166
sacramento city unified school district,3160
placentia-yorba linda unified school district,3106
riverside unified school district,2996
torrance unified school district,2917
clovis unified school district,2874
hayward unified school district,2841
santa monica-malibu unified school district,2840
pasadena unified school district,2693
sweetwater union high school district,2651
fullerton joint union high school district,2623
acalanes union high school district,2589
modesto city high school district,2466
antelope valley union joint high school district,2464
berkeley unified school district,2416
folsom-cordova unified school district,2333
lodi unified school district,2330
beverly hills unified school district,2309
chino valley unified school district,2282
conejo valley unified school district,2279
garden grove unified school district,2246
tracy unified school district,2235
mountain view-los altos union school district,2223
redlands unified school district,2133
temecula valley unified school district,2129
las virgenes unified school district,2114
simi valley unified school district,2084
burbank unified school district,1988
dublin unified school district,1907
san marcos unified school district,1841
palos verdes peninsula unified school district,1834
escondido union high school district,1795
natomas unified school district,1770
liberty union high school district,1765
santa ana unified school district,1743
santa barbara unified school district,1737
twin rivers unified school district,1717
jefferson union high school district,1711
new haven unified school district,1693
fresno unified school district,1642
centinela valley union high school district,1602
oxnard union high school district,1574
palo alto unified school district,1574
murrieta valley unified school district,1559
pleasanton unified school district,1529
tamalpais union high school district,1525
moreno valley unified school district,1518
upland unified school district,1508
fontana unified school district,1505
perris union high school district,1481
bonita unified school district,1415
los gatos-saratoga joint union school district,1403
manteca unified school district,1398
fairfield-suisun unified school district,1374
alameda city unified school district,1358
el dorado union high school district,1355
desert sands unified school district,1352
redondo beach unified school district,1338
antioch unified school district,1328
