school_district,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
,7,3,42.86
abc unified school district,1317,813,61.73
acalanes union high school district,2589,1667,64.39
acton-agua dulce unified school district,84,54,64.29
alameda city unified school district,1358,678,49.93
albany city unified school district,377,226,59.95
alhambra unified school district,661,377,57.03
alpaugh unified school district,5,3,60.0
alpine county unified school district,7,4,57.14
alvord unified school district,1294,631,48.76
amador county unified school district,102,82,80.39
anaheim union high school district,5889,2668,45.3
anderson union high school district,78,49,62.82
anderson valley unified school district,8,6,75.0
antelope valley union joint high school district,2464,1313,53.29
antioch unified school district,1328,651,49.02
apple valley unified school district,487,230,47.23
arcadia unified school district,770,477,61.95
aromas-san juan unified school district,32,14,43.75
atascadero unified school district,169,124,73.37
azusa unified school district,356,191,53.65
baldwin park unified school district,145,71,48.97
ballard county school district,1,1,100.0
banning unified school district,138,81,58.7
banta unified school district,163,76,46.63
barstow unified school district,150,55,36.67
bassett unified school district,35,18,51.43
bastrop independent school district,1,1,100.0
bear valley unified school district,88,62,70.45
beaumont unified school district,487,258,52.98
bellflower unified school district,662,383,57.85
benicia unified school district,269,175,65.06
berkeley county school district,1,0,0.0
berkeley unified school district,2416,1308,54.14
beverly hills unified school district,2309,1682,72.85
big oak flat-groveland unified school district,27,19,70.37
big pine unified school district,3,2,66.67
big sur unified school district,2,1,50.0
big valley joint unified school district,4,4,100.0
biggs unified school district,23,17,73.91
bishop unified school district,37,23,62.16
black oak mine unified school district,42,33,78.57
bonita unified school district,1415,847,59.86
bonsall unified school district,191,132,69.11
borrego springs unified school district,1,0,0.0
brawley union high school district,71,37,52.11
brea-olinda unified school district,571,362,63.4
bret harte union high school district,69,48,69.57
burbank unified school district,1988,1166,58.65
bureau valley community unit school district,2,2,100.0
cabrillo unified school district,199,143,71.86
calaveras unified school district,80,53,66.25
calexico unified school district,80,30,37.5
calipatria unified school district,10,3,30.0
calistoga joint unified school district,31,25,80.65
campbell county public schools,2,2,100.0
campbell union high school district,4834,3015,62.37
capistrano unified school district,11275,7088,62.86
carlsbad unified school district,1109,769,69.34
carlyle community unit school district,1,0,0.0
carmel unified school district,265,194,73.21
carpinteria unified school district,85,58,68.24
caruthers unified school district,14,4,28.57
castro valley unified school district,784,436,55.61
center joint unified school district,491,295,60.08
centinela valley union high school district,1602,669,41.76
central unified school district,716,296,41.34
central union high school district,135,56,41.48
ceres unified school district,324,131,40.43
chaffey joint union high school district,6116,3228,52.78
charter oak unified school district,586,341,58.19
chawanakee unified school district,10,7,70.0
chico unified school district,693,358,51.66
chino valley unified school district,2282,1271,55.7
chippewa hills school district,4,3,75.0
chowchilla union high school district,76,40,52.63
claremont unified school district,675,389,57.63
clark county school district,1,0,0.0
cloverdale unified school district,34,26,76.47
clovis unified school district,2874,1415,49.23
coachella valley unified school district,174,98,56.32
coalinga-huron unified school district,85,45,52.94
coast unified school district,51,41,80.39
colton joint unified school district,705,288,40.85
colusa unified school district,17,14,82.35
compton unified school district,302,118,39.07
conejo valley unified school district,2279,1533,67.27
corcoran joint unified school district,44,11,25.0
corning union high school district,29,21,72.41
corona-norco unified school district,6611,3671,55.53
coronado unified school district,121,78,64.46
cotati-rohnert park unified school district,504,289,57.34
covina-valley unified school district,688,375,54.51
culver city unified school district,820,514,62.68
cutler-orosi joint unified school district,26,6,23.08
davis joint unified school district,1179,653,55.39
death valley unified school district,3,2,66.67
del norte county unified school district,62,41,66.13
delano joint union high school district,188,63,33.51
delhi unified school district,29,13,44.83
denair unified school district,102,62,60.78
desert sands unified school district,1352,801,59.25
dinuba unified school district,139,27,19.42
district not found,76,43,56.58
dixon unified school district,73,52,71.23
dos palos-oro loma joint unified school district,15,7,46.67
downey unified school district,1303,683,52.42
duarte unified school district,390,245,62.82
dublin unified school district,1907,1023,53.64
dunsmuir joint union high school district,13,9,69.23
durham unified school district,8,6,75.0
east feliciana parish school district,17,13,76.47
east nicolaus joint union high school district,10,6,60.0
east side union high school district,4867,2990,61.43
eastern sierra unified school district,12,8,66.67
el dorado union high school district,1355,935,69.0
el monte union high school district,325,165,50.77
el rancho unified school district,128,74,57.81
el segundo unified school district,268,160,59.7
el tejon unified school district,46,25,54.35
elk grove unified school district,6097,2948,48.35
emery unified school district,341,150,43.99
escalon unified school district,39,19,48.72
escambia county school district,86,65,75.58
escondido union high school district,1795,1063,59.22
esparto unified school district,18,12,66.67
eureka city unified school district,187,107,57.22
exeter unified school district,21,9,42.86
fairfield-suisun unified school district,1374,767,55.82
fall river joint unified school district,18,12,66.67
fallbrook union high school district,288,197,68.4
farmersville unified school district,24,7,29.17
farwell area schools,2,2,100.0
ferndale unified school district,8,6,75.0
fillmore unified school district,49,32,65.31
firebaugh-las deltas unified school district,62,9,14.52
folsom-cordova unified school district,2333,1500,64.29
fontana unified school district,1505,680,45.18
fort bragg unified school district,58,40,68.97
fort sage unified school district,2,0,0.0
fortuna union high school district,49,26,53.06
fowler unified school district,32,14,43.75
fremont unified school district,5695,2851,50.06
fremont union high school district,3599,2286,63.52
