CountyCode,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
1,29276,14544,49.68
2,7,4,57.14
3,102,82,80.39
4,935,498,53.26
5,149,101,67.79
6,50,32,64.0
7,19642,11280,57.43
8,63,41,65.08
9,1561,1067,68.35
10,6352,2754,43.36
11,39,23,58.97
12,495,274,55.35
13,377,158,41.91
14,51,30,58.82
15,4556,2082,45.7
16,363,148,40.77
17,198,102,51.52
18,72,50,69.44
19,119076,69263,58.17
20,559,306,54.74
21,3032,2138,70.51
22,45,33,73.33
23,286,179,62.59
24,955,479,50.16
25,23,11,47.83
26,51,32,62.75
27,2606,1466,56.25
28,835,555,66.47
29,474,325,68.57
30,63385,37287,58.83
31,5228,3308,63.27
32,51,29,56.86
33,24328,12763,52.46
34,20769,11295,54.38
35,221,116,52.49
36,19149,9625,50.26
37,46621,27273,58.5
38,11900,7535,63.32
39,8883,4230,47.62
40,1477,987,66.82
41,12501,7536,60.28
42,2412,1552,64.34
43,29300,18554,63.32
44,1968,1200,60.98
45,550,304,55.27
46,8,4,50.0
47,125,87,69.6
48,3354,1926,57.42
49,2866,1946,67.9
50,4488,2136,47.59
51,736,401,54.48
52,149,93,62.42
53,46,21,45.65
54,1676,749,44.69
55,145,106,73.1
56,8055,5180,64.31
57,2868,1534,53.49
58,317,176,55.52
