City,MuslimNumbers
ACAMPO,23
ACTON,56
ADELANTO,104
AGOURA HILLS,509
AGUA DULCE,24
AGUANGA,16
AHWAHNEE,1
ALAMEDA,1367
ALAMO,395
ALBANY,380
ALBION,5
ALDERPOINT,1
ALHAMBRA,423
ALISO VIEJO,2009
ALPAUGH,5
ALPINE,94
ALPINE MEADOWS,3
ALTA,3
ALTADENA,416
ALTURAS,15
ALVISO,15
AMERICAN CANYON,245
ANAHEIM,6634
ANDERSON,42
ANGELS CAMP,15
ANGELUS OAKS,2
ANGWIN,13
ANNAPOLIS,1
ANTELOPE,840
ANTIOCH,1341
ANZA,23
APPLE VALLEY,487
APPLEGATE,9
APTOS,203
ARBUCKLE,10
ARCADIA,890
ARCATA,100
ARLETA,121
ARMONA,8
ARNOLD,17
AROMAS,8
ARROWBEAR LAKE,3
ARROYO GRANDE,181
ARTESIA,201
ARVIN,88
ATASCADERO,157
ATHERTON,244
ATWATER,104
AUBERRY,11
AUBURN,229
AVALON,5
AVENAL,40
AVERY,6
AVILA BEACH,2
AZUSA,316
BADGER,1
BAKERSFIELD,3560
BALBOA ISLAND,26
BALDWIN PARK,140
BANGOR,3
BANNING,142
BARSTOW,148
BASS LAKE,2
BAY POINT,157
BAYSIDE,11
BEAUMONT,410
BECKWOURTH,1
BELL,662
BELL CANYON,105
BELL GARDENS,48
BELLA VISTA,5
BELLFLOWER,610
BELMONT,639
BELVEDERE,30
BEN LOMOND,43
BENICIA,269
BENTON,2
BERKELEY,2453
BERMUDA DUNES,70
BERRY CREEK,5
BETHEL ISLAND,8
BEVERLY HILLS,2730
BICKFORD RANCH,1
BIEBER,1
BIG BEAR CITY,32
BIG BEAR LAKE,40
BIG PINE,3
BIG SUR,4
BIGGS,19
BIOLA,3
BIRDS LANDING,1
BISHOP,37
BLAIRSDEN,3
BLOOMINGTON,128
BLUE JAY,1
BLUE LAKE,4
BLYTHE,29
BODEGA BAY,4
BODFISH,3
BOLINAS,5
BOMBAY BEACH,1
BONITA,160
BONSALL,61
BOONVILLE,7
BORON,1
BORREGO SPRINGS,1
BOULDER CREEK,54
BOULEVARD,4
BRADBURY,63
BRADLEY,3
BRANSCOMB,1
BRAWLEY,68
BREA,619
BRENTWOOD,1161
BRIDGEPORT,1
BRISBANE,88
BROOKDALE,2
BROWNS VALLEY,20
BROWNSVILLE,1
BUELLTON,21
BUENA PARK,982
BURBANK,2080
BURLINGAME,774
BURNEY,7
BURNT RANCH,2
BURSON,4
BUTTE CITY,1
