City,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
Acampo,23,15,65.22
Acton,56,37,66.07
Adelanto,104,47,45.19
Agoura Hills,509,367,72.1
Agua Dulce,24,10,41.67
Aguanga,16,12,75.0
Ahwahnee,1,1,100.0
Alameda,1367,684,50.04
Alamo,395,252,63.8
Albany,380,229,60.26
Albion,5,3,60.0
Alderpoint,1,0,0.0
Alhambra,423,258,60.99
Aliso Viejo,2009,1163,57.89
Alpaugh,5,3,60.0
Alpine,94,73,77.66
Alpine Meadows,3,2,66.67
Alta,3,3,100.0
Altadena,416,299,71.88
Alturas,15,6,40.0
Alviso,15,12,80.0
American Canyon,245,139,56.73
Anaheim,6634,3235,48.76
Anderson,42,26,61.9
Angels Camp,15,10,66.67
Angelus Oaks,2,2,100.0
Angwin,13,9,69.23
Annapolis,1,1,100.0
Antelope,840,417,49.64
Antioch,1341,658,49.07
Anza,23,12,52.17
Apple Valley,487,230,47.23
Applegate,9,5,55.56
Aptos,203,130,64.04
Arbuckle,10,6,60.0
Arcadia,890,544,61.12
Arcata,100,49,49.0
Arleta,121,63,52.07
Armona,8,1,12.5
Arnold,17,12,70.59
Aromas,8,3,37.5
Arrowbear Lake,3,2,66.67
Arroyo Grande,181,127,70.17
Artesia,201,116,57.71
Arvin,88,17,19.32
Atascadero,157,116,73.89
Atherton,244,150,61.48
Atwater,104,50,48.08
Auberry,11,2,18.18
Auburn,229,175,76.42
Avalon,5,1,20.0
Avenal,40,18,45.0
Avery,6,6,100.0
Avila Beach,2,1,50.0
Azusa,316,170,53.8
Badger,1,0,0.0
Bakersfield,3560,1655,46.49
Balboa Island,26,21,80.77
Baldwin Park,140,68,48.57
Bangor,3,1,33.33
Banning,142,89,62.68
Barstow,148,55,37.16
Bass Lake,2,1,50.0
Bay Point,157,66,42.04
Bayside,11,7,63.64
Beaumont,410,211,51.46
Beckwourth,1,1,100.0
Bell,662,95,14.35
Bell Canyon,105,65,61.9
Bell Gardens,48,14,29.17
Bella Vista,5,2,40.0
Bellflower,610,324,53.11
Belmont,639,417,65.26
Belvedere,30,19,63.33
Ben Lomond,43,22,51.16
Benicia,269,175,65.06
Benton,2,2,100.0
Berkeley,2453,1336,54.46
Bermuda Dunes,70,28,40.0
Berry Creek,5,1,20.0
Bethel Island,8,6,75.0
Beverly Hills,2730,1966,72.01
Bickford Ranch,1,1,100.0
Bieber,1,1,100.0
Big Bear City,32,21,65.62
Big Bear Lake,40,29,72.5
Big Pine,3,2,66.67
Big Sur,4,1,25.0
Biggs,19,15,78.95
Biola,3,0,0.0
Birds Landing,1,0,0.0
Bishop,37,23,62.16
Blairsden,3,2,66.67
Bloomington,128,36,28.12
Blue Jay,1,0,0.0
Blue Lake,4,3,75.0
Blythe,29,10,34.48
Bodega Bay,4,2,50.0
Bodfish,3,1,33.33
Bolinas,5,2,40.0
Bombay Beach,1,0,0.0
Bonita,160,84,52.5
Bonsall,61,46,75.41
Boonville,7,5,71.43
Boron,1,0,0.0
Borrego Springs,1,0,0.0
Boulder Creek,54,38,70.37
Boulevard,4,1,25.0
Bradbury,63,44,69.84
Bradley,3,2,66.67
Branscomb,1,0,0.0
Brawley,68,35,51.47
Brea,619,401,64.78
Brentwood,1161,662,57.02
Bridgeport,1,0,0.0
Brisbane,88,58,65.91
Brookdale,2,1,50.0
Browns Valley,20,16,80.0
Brownsville,1,0,0.0
Buellton,21,16,76.19
Buena Park,982,520,52.95
Burbank,2080,1217,58.51
Burlingame,774,474,61.24
Burney,7,3,42.86
Burnt Ranch,2,2,100.0
Burson,4,3,75.0
Butte City,1,0,0.0
Buttonwillow,4,1,25.0
Byron,3,1,33.33
Cabazon,8,1,12.5
Calabasas,1131,739,65.34
Calexico,79,29,36.71
Caliente,4,2,50.0
Calif Hot Spg,3,3,100.0
California City,52,22,42.31
California Valley,2,1,50.0
Calimesa,50,32,64.0
Calipatria,7,3,42.86
Calistoga,31,25,80.65
Callahan,4,4,100.0
Calpine,2,1,50.0
Camarillo,788,512,64.97
Cambria,32,25,78.12
Cameron Park,97,72,74.23
Camino,20,10,50.0
Camp Connell,2,0,0.0
Camp Meeker,1,1,100.0
Camp Pendleton,12,5,41.67
Campbell,1052,646,61.41
Campo,6,2,33.33
Camptonville,3,2,66.67
Canoga Park,2606,1346,51.65
Cantua Creek,2,0,0.0
Canyon Cntry,13,8,61.54
Canyon Country,1285,742,57.74
Canyon Lake,72,53,73.61
Capistrano Beach,55,37,67.27
Capitola,64,42,65.62
Cardiff By The Sea,138,110,79.71
Carlotta,2,1,50.0
Carlsbad,1807,1286,71.17
Carmel,168,116,69.05
Carmel Valley,41,34,82.93
Carmel-By-The-Sea,41,34,82.93
Carmichael,1097,622,56.7
Carnelian Bay,5,3,60.0
Carpinteria,72,49,68.06
Carson,546,275,50.37
Caruthers,13,3,23.08
Caspar,1,1,100.0
Castaic,268,169,63.06
Castro Valley,906,487,53.75
Castroville,29,2,6.9
Cathedral City,265,144,54.34
Catheys Valley,4,2,50.0
Cayucos,19,16,84.21
Cazadero,9,8,88.89
Cedar Glen,3,3,100.0
Cedarpines Park,8,8,100.0
Cedarville,2,1,50.0
Ceres,253,101,39.92
Cerritos,871,563,64.64
Chalfant Valley,3,3,100.0
Challenge,1,1,100.0
Chatsworth,1091,621,56.92
Cherry Valley,36,19,52.78
Chester,4,3,75.0
Chico,689,356,51.67
Chilcoot,2,1,50.0
Chino,775,427,55.1
Chino Hills,1428,804,56.3
