Congressional District,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
Congressional District 1,2933,1635,55.74
Congressional District 10,16036,9477,59.1
Congressional District 11,11207,7117,63.5
Congressional District 12,11751,5736,48.81
Congressional District 13,3528,1586,44.95
Congressional District 14,13352,6606,49.48
Congressional District 15,11280,6624,58.72
Congressional District 16,13150,8723,66.33
Congressional District 17,12248,7222,58.96
Congressional District 18,3722,2138,57.44
Congressional District 19,9651,6072,62.92
Congressional District 2,5213,3585,68.77
Congressional District 20,5309,2682,50.52
Congressional District 21,2936,1132,38.56
Congressional District 22,2287,809,35.37
Congressional District 23,4632,2304,49.74
Congressional District 24,4273,2757,64.52
Congressional District 25,2994,1435,47.93
Congressional District 26,8753,5718,65.33
Congressional District 27,9824,5940,60.46
Congressional District 28,8943,5556,62.13
Congressional District 29,5928,3238,54.62
Congressional District 3,8315,5351,64.35
Congressional District 30,13426,7811,58.18
Congressional District 31,5601,3218,57.45
Congressional District 32,24091,14113,58.58
Congressional District 33,7435,3673,49.4
Congressional District 34,4179,2190,52.4
Congressional District 35,5704,2844,49.86
Congressional District 36,19386,11995,61.87
Congressional District 37,6094,3370,55.3
Congressional District 38,5218,3052,58.49
Congressional District 39,5826,2663,45.71
Congressional District 4,5477,3310,60.43
Congressional District 40,21323,13111,61.49
Congressional District 41,11129,6221,55.9
Congressional District 42,5480,2811,51.3
Congressional District 43,5011,2389,47.68
Congressional District 44,4343,2480,57.1
Congressional District 45,9474,5363,56.61
Congressional District 46,6789,3057,45.03
Congressional District 47,21611,12878,59.59
Congressional District 48,11069,6612,59.73
Congressional District 49,10863,7302,67.22
Congressional District 5,7073,3890,55.0
Congressional District 50,13374,8422,62.97
Congressional District 51,15397,8411,54.63
Congressional District 52,5221,2248,43.06
Congressional District 6,10127,5479,54.1
Congressional District 7,9154,4694,51.28
Congressional District 8,7424,3910,52.67
Congressional District 9,8432,4002,47.46
District not found,2,1,50.0
Invalid,5,2,40.0
