State Senate District,Muslim_Total,Muslim_Voted,Muslim_Voted_Percent
District not found,2,1,50.0
Invalid,5,2,40.0
State Senate District 1,3675,2154,58.61
State Senate District 10,18297,9716,53.1
State Senate District 11,13746,8351,60.75
State Senate District 12,7891,3910,49.55
State Senate District 13,18478,11993,64.9
State Senate District 14,3437,1396,40.62
State Senate District 15,13867,8663,62.47
State Senate District 16,2817,1024,36.35
State Senate District 17,5995,3597,60.0
State Senate District 18,4348,2324,53.45
State Senate District 19,6970,3749,53.79
State Senate District 2,6290,4253,67.62
State Senate District 20,10302,5511,53.49
State Senate District 21,5142,3282,63.83
State Senate District 22,6920,3736,53.99
State Senate District 23,8941,5156,57.67
State Senate District 24,26857,16810,62.59
State Senate District 25,14156,8594,60.71
State Senate District 26,6371,3610,56.66
State Senate District 27,25504,15291,59.96
State Senate District 28,11377,6363,55.93
State Senate District 29,8605,4126,47.95
State Senate District 3,9412,5366,57.01
State Senate District 30,7125,4082,57.29
State Senate District 31,7869,3742,47.55
State Senate District 32,15599,8763,56.18
State Senate District 33,5485,2878,52.47
State Senate District 34,7771,3693,47.52
State Senate District 35,5959,2982,50.04
State Senate District 36,15145,9157,60.46
State Senate District 37,30522,18017,59.03
State Senate District 38,17407,11467,65.88
State Senate District 39,19507,10308,52.84
State Senate District 4,7005,3850,54.96
State Senate District 40,14683,9002,61.31
State Senate District 44,1,0,0.0
State Senate District 5,13575,6924,51.01
State Senate District 55,1,0,0.0
State Senate District 6,13629,8125,59.62
State Senate District 7,14516,7237,49.86
State Senate District 8,11935,6185,51.82
State Senate District 9,16864,9575,56.78
