School District,Matched DistrictName,Match Score,
los angeles unified school district,Los Angeles Unified,100,
san diego city unified school district,San Diego Unified,100,
grossmont union high school district,Grossmont Union High,100,
san francisco unified school district,San Francisco Unified,100,
irvine unified school district,Irvine Unified,100,
capistrano unified school district,Capistrano Unified,100,
corona-norco unified school district,Corona-Norco Unified,100,
saddleback valley unified school district,Saddleback Valley Unified,100,
oakland unified school district,Oakland Unified,100,
chaffey joint union high school district,Chaffey Joint Union High,100,
elk grove unified school district,Elk Grove Unified,100,
anaheim union high school district,Anaheim Union High,100,
fremont unified school district,Fremont Unified,100,
poway unified school district,Poway Unified,100,
san mateo union high school district,San Mateo Union High,100,
mount diablo unified school district,Mt. Diablo Unified,80,*
san jose unified school district,San Jose Unified,100,
huntington beach union high school district,Huntington Beach Union High,100,
east side union high school district,East Side Union High,100,
campbell union high school district,Campbell Union High,100,
william s. hart union high school district,William S. Hart Union High,100,
san juan unified school district,San Juan Unified,100,
san ramon valley unified school district,San Ramon Valley Unified,100,
orange unified school district,Orange Unified,100,
glendale unified school district,Glendale Unified,100,
sequoia union high school district,Sequoia Union Elementary,100,
long beach unified school district,Long Beach Unified,100,
kern high school district,Kern High,100,
newport-mesa unified school district,Newport-Mesa Unified,100,
san dieguito union high school district,San Dieguito Union High,100,
fremont union high school district,Fremont Union High,100,
santa clara unified school district,Santa Clara Elementary,100,
west contra costa unified school district,West Contra Costa Unified,100,
roseville joint union high school district,Roseville Joint Union High,100,
tustin unified school district,Tustin Unified,100,
sacramento city unified school district,Sacramento City Unified,100,
placentia-yorba linda unified school district,Placentia-Yorba Linda Unified,100,
riverside unified school district,Riverside Unified,100,
torrance unified school district,Torrance Unified,100,
clovis unified school district,Clovis Unified,100,
hayward unified school district,Hayward Unified,100,
santa monica-malibu unified school district,Santa Monica-Malibu Unified,100,
pasadena unified school district,Pasadena Unified,100,
sweetwater union high school district,Sweetwater Union High,100,
fullerton joint union high school district,Fullerton Joint Union High,100,
acalanes union high school district,Acalanes Union High,100,
modesto city high school district,Modesto City High,100,
antelope valley union joint high school district,Antelope Valley Union High,100,
berkeley unified school district,Berkeley Unified,100,
folsom-cordova unified school district,Folsom-Cordova Unified,100,
lodi unified school district,Lodi Unified,100,
beverly hills unified school district,Beverly Hills Unified,100,
chino valley unified school district,Chino Valley Unified,100,
conejo valley unified school district,Conejo Valley Unified,100,
garden grove unified school district,Garden Grove Unified,100,
tracy unified school district,Tracy Joint Unified,100,
mountain view-los altos union school district,Mountain View-Los Altos Union High,100,
redlands unified school district,Redlands Unified,100,
temecula valley unified school district,Temecula Valley Unified,100,
las virgenes unified school district,Las Virgenes Unified,100,
simi valley unified school district,Simi Valley Unified,100,
burbank unified school district,Burbank Unified,100,
dublin unified school district,Dublin Unified,100,
san marcos unified school district,San Marcos Unified,100,
palos verdes peninsula unified school district,Palos Verdes Peninsula Unified,100,
escondido union high school district,Escondido Union High,100,
natomas unified school district,Natomas Unified,100,
liberty union high school district,Liberty Union High,100,
santa ana unified school district,Santa Ana Unified,100,
santa barbara unified school district,Santa Barbara Unified,100,
twin rivers unified school district,Twin Rivers Unified,100,
jefferson union high school district,Jefferson Union High,100,
new haven unified school district,New Haven Unified,100,
fresno unified school district,Fresno Unified,100,
centinela valley union high school district,Centinela Valley Union High,100,
oxnard union high school district,Oxnard Union High,100,
palo alto unified school district,Palo Alto Unified,100,
murrieta valley unified school district,Murrieta Valley Unified,100,
pleasanton unified school district,Pleasanton Unified,100,
tamalpais union high school district,Tamalpais Union High,100,
moreno valley unified school district,Moreno Valley Unified,100,
upland unified school district,Upland Unified,100,
fontana unified school district,Fontana Unified,100,
perris union high school district,Perris Union High,100,
bonita unified school district,Bonita Unified,100,
los gatos-saratoga joint union school district,Los Gatos-Saratoga Union High,100,
manteca unified school district,Manteca Unified,100,
fairfield-suisun unified school district,Fairfield-Suisun Unified,100,
alameda city unified school district,Alameda Unified,100,
el dorado union high school district,El Dorado Union High,100,
desert sands unified school district,Desert Sands Unified,100,
redondo beach unified school district,Redondo Beach Unified,100,
antioch unified school district,Antioch Unified,100,
stockton unified school district,Stockton Unified,100,
abc unified school district,ABC Unified,100,
pomona unified school district,Pomona Unified,100,
downey unified school district,Downey Unified,100,
alvord unified school district,Alvord Unified,100,
livermore valley joint unified school district,Livermore Valley Joint Unified,100,
san bernardino city unified school district,San Bernardino City Unified,100,
monterey peninsula unified school district,Monterey Peninsula Unified,100,
south san francisco unified school district,South San Francisco Unified,100,
palm springs unified school district,Palm Springs Unified,100,
davis joint unified school district,Davis Joint Unified,100,
vista unified school district,Vista Unified,100,
lake elsinore unified school district,Lake Elsinore Unified,100,
santa rosa high school district,Santa Rosa High,100,
carlsbad unified school district,Carlsbad Unified,100,
turlock unified school district,Turlock Unified,100,
milpitas unified school district,Milpitas Unified,100,
santa cruz city high school district,Santa Cruz City High,100,
whittier union high school district,Whittier Union High,100,
victor valley union high school district,Victor Valley Union High,100,
rocklin unified school district,Rocklin Unified,100,
newark unified school district,Newark Unified,100,
hemet unified school district,Hemet Unified,100,
morgan hill unified school district,Morgan Hill Unified,100,
walnut valley unified school district,Walnut Valley Unified,100,
woodland joint unified school district,Woodland Joint Unified,100,
glendora unified school district,Glendora Unified,100,
san leandro unified school district,San Leandro Unified,100,
culver city unified school district,Culver City Unified,100,
vallejo city unified school district,Vallejo City Unified,100,
visalia unified school district,Visalia Unified,100,
lammersville joint unified school district,Lammersville Joint Unified,100,
washington unified school district,Washington Unified,100,
ventura unified school district,Ventura Unified,100,
oceanside unified school district,Oceanside Unified,100,
san rafael city high school district,San Rafael City High,100,
castro valley unified school district,Castro Valley Unified,100,
rowland unified school district,Rowland Unified,100,
laguna beach unified school district,Laguna Beach Unified,100,
norwalk-la mirada unified school district,Norwalk-La Mirada Unified,100,
arcadia unified school district,Arcadia Unified,100,
napa valley unified school district,Napa Valley Unified,100,
inglewood unified school district,Inglewood Unified,100,
merced union high school district,Merced Union High,100,
central unified school district,Central Elementary,100,
san lorenzo unified school district,San Lorenzo Unified,100,
colton joint unified school district,Colton Joint Unified,100,
novato unified school district,Novato Unified,100,
chico unified school district,Chico Unified,100,
covina-valley unified school district,Covina-Valley Unified,100,
claremont unified school district,Claremont Unified,100,
bellflower unified school district,Bellflower Unified,100,
alhambra unified school district,Alhambra Unified,100,
los alamitos unified school district,Los Alamitos Unified,100,
moorpark unified school district,Moorpark Unified,100,
placer union high school district,Placer Union High,100,
petaluma joint union high school district,Petaluma Joint Union High,100,
manhattan beach unified school district,Manhattan Beach Unified,100,
western placer unified school district,Western Placer Unified,100,
yuba city unified school district,Yuba City Unified,100,
charter oak unified school district,Charter Oak Unified,100,
salinas union high school district,Salinas Union High,100,
brea-olinda unified school district,Brea-Olinda Unified,100,
san luis coastal unified school district,San Luis Coastal Unified,100,
rialto unified school district,Rialto Unified,100,
jurupa unified school district,Jurupa Unified,100,
vacaville unified school district,Vacaville Unified,100,
cotati-rohnert park unified school district,Cotati-Rohnert Park Unified,100,
gilroy unified school district,Gilroy Unified,100,
center joint unified school district,Center Joint Unified,100,
pajaro valley joint unified school district,Pajaro Valley Unified,100,
val verde unified school district,Val Verde Unified,100,
apple valley unified school district,Apple Valley Unified,100,
beaumont unified school district,Beaumont Unified,100,
monrovia unified school district,Monrovia Unified,100,
lucia mar unified school district,Lucia Mar Unified,100,
pittsburg unified school district,Pittsburg Unified,100,
la cañada unified school district,La Canada Unified,93,*
hesperia unified school district,Hesperia Unified,100,
hacienda la puente unified school district,Hacienda la Puente Unified,100,
montebello unified school district,Montebello Unified,100,
yucaipa-calimesa joint unified school district,Yucaipa-Calimesa Joint Unified,100,
duarte unified school district,Duarte Unified,100,
nevada joint union high school district,Nevada Joint Union High,100,
shasta union high school district,Shasta Union High,100,
west covina unified school district,West Covina Unified,100,
albany city unified school district,Albany City Unified,100,
lincoln unified school district,Lincoln Unified,100,
azusa unified school district,Azusa Unified,100,
santa maria joint union high school district,Santa Maria Joint Union High,100,
porterville unified school district,Porterville Unified,100,
emery unified school district,Emery Unified,100,
oak park unified school district,Oak Park Unified,100,
martinez unified school district,Martinez Unified,100,
el monte union high school district,El Monte Union High,100,
ceres unified school district,Ceres Unified,100,
south pasadena unified school district,South Pasadena Unified,100,
compton unified school district,Compton Unified,100,
morongo unified school district,Morongo Unified,100,
fallbrook union high school district,Fallbrook Union High,100,
temple city unified school district,Temple City Unified,100,
madera unified school district,Madera Unified,100,
hermosa beach city elementary school district,Hermosa Beach City Elementary,100,
benicia unified school district,Benicia Unified,100,
el segundo unified school district,El Segundo Unified,100,
carmel unified school district,Carmel Unified,100,
paramount unified school district,Paramount Unified,100,
san gabriel unified school district,San Gabriel Unified,100,
travis unified school district,Travis Unified,100,
valley center-pauma unified school district,Valley Center-Pauma Unified,100,
pacific grove unified school district,Pacific Grove Unified,100,
san jacinto unified school district,San Jacinto Unified,100,
west sonoma county union high school district,West Sonoma County Union High,100,
patterson joint unified school district,Patterson Joint Unified,100,
scotts valley unified school district,Scotts Valley Unified,100,
hanford joint union high school district,Hanford Joint Union High,100,
sanger unified school district,Sanger Unified,100,
northern humboldt union high school district,Northern Humboldt Union High,100,
marysville joint unified school district,Marysville Joint Unified,100,
ramona city unified school district,Ramona City Unified,100,
tulare joint union high school district,Tulare Joint Union High,100,
san benito high school district,San Benito High,100,
paso robles joint unified school district,Paso Robles Joint Unified,100,
cabrillo unified school district,Cabrillo Unified,100,
kings canyon joint unified school district,Kings Canyon Joint Unified,100,
bonsall unified school district,Bonsall Unified,100,
delano joint union high school district,Delano Joint Union High,100,
eureka city unified school district,Eureka City Schools,90,*
wiseburn unified school district,Wiseburn Unified,100,
san marino unified school district,San Marino Unified,100,
piedmont city unified school district,Piedmont City Unified,100,
coachella valley unified school district,Coachella Valley Unified,100,
sonoma valley unified school district,Sonoma Valley Unified,100,
atascadero unified school district,Atascadero Unified,100,
tahoe-truckee unified school district,Tahoe-Truckee Unified,100,
banta unified school district,Banta Unified,100,
lake tahoe unified school district,Lake Tahoe Unified,100,
galt joint union high school district,Galt Joint Union High,100,
san lorenzo valley unified school district,San Lorenzo Valley Unified,100,
sierra sands unified school district,Sierra Sands Unified,100,
rim of the world unified school district,Rim of the World Unified,100,
barstow unified school district,Barstow Unified,100,
selma unified school district,Selma Unified,100,
baldwin park unified school district,Baldwin Park Unified,100,
yosemite unified school district,Yosemite Unified,100,
lompoc unified school district,Lompoc Unified,100,
snowline joint unified school district,Snowline Joint Unified,100,
dinuba unified school district,Dinuba Unified,100,
banning unified school district,Banning Unified,100,
ripon unified school district,Ripon Unified,100,
central union high school district,Central Union Elementary,100,
tehachapi unified school district,Tehachapi Unified,100,
el rancho unified school district,El Rancho Unified,100,
john swett unified school district,John Swett Unified,100,
windsor unified school district,Windsor Unified,100,
coronado unified school district,Coronado Unified,100,
ukiah unified school district,Ukiah Unified,100,
oakdale joint unified school district,Oakdale Joint Unified,100,
los banos unified school district,Los Banos Unified,100,
oroville union high school district,Oroville Union High,100,
north monterey county unified school district,North Monterey County Unified,100,
red bluff joint union high school district,Red Bluff Joint Union High,100,
ojai unified school district,Ojai Unified,100,
wheatland union high school district,Wheatland Union High,100,
amador county unified school district,Amador County Unified,100,
denair unified school district,Denair Unified,100,
santa ynez valley union high school district,Santa Ynez Valley Union High,100,
sonora union high school district,Sonora Union High,100,
bear valley unified school district,Bear Valley Unified,100,
kerman unified school district,Kerman Unified,100,
escambia county school district,San Diego Unified,75,*
coalinga-huron unified school district,Coalinga-Huron Unified,100,
carpinteria unified school district,Carpinteria Unified,100,
acton-agua dulce unified school district,Acton-Agua Dulce Unified,100,
live oak unified school district,Live Oak Unified,100,
calexico unified school district,Calexico Unified,100,
calaveras unified school district,Calaveras Unified,100,
anderson union high school district,Anderson Union High,100,
south monterey county joint union high school district,South Monterey County Joint Union High,100,
soledad unified school district,Soledad Unified,100,
district not found,,60,*
chowchilla union high school district,Chowchilla Union High,100,
gateway unified school district,Gateway Unified,100,
river delta joint unified school district,River Delta Joint Unified,100,
southern kern unified school district,Southern Kern Unified,100,
dixon unified school district,Dixon Unified,100,
brawley union high school district,Brawley Union High,100,
templeton unified school district,Templeton Unified,100,
bret harte union high school district,Bret Harte Union High,100,
lynwood unified school district,Lynwood Unified,100,
kingsburg joint union high school district,Kingsburg Joint Union High,100,
imperial unified school district,Imperial Unified,100,
paradise unified school district,Paradise Elementary,100,
lassen union high school district,Lassen Union High,100,
mojave unified school district,Mojave Unified,100,
lemoore union high school district,Lemoore Union High,100,
del norte county unified school district,Del Norte County Unified,100,
firebaugh-las deltas unified school district,Firebaugh-Las Deltas Unified,100,
healdsburg unified school district,Healdsburg Unified,100,
newman-crows landing unified school district,Newman-Crows Landing Unified,100,
fort bragg unified school district,Fort Bragg Unified,100,
konocti unified school district,Konocti Unified,100,
santa paula unified school district,Santa Paula Unified,100,
silver valley unified school district,Silver Valley Unified,100,
riverdale joint unified school district,Riverdale Joint Unified,100,
coast unified school district,Coast Unified,100,
riverbank unified school district,Riverbank Unified,100,
sutter union high school district,Sutter Union High,100,
plumas unified school district,Plumas Unified,100,
fillmore unified school district,Fillmore Unified,100,
fortuna union high school district,Fortuna Union High,100,
yreka union high school district,Yreka Union High,100,
willits unified school district,Willits Unified,100,
siskiyou union high school district,Siskiyou Union High,100,
el tejon unified school district,El Tejon Unified,100,
golden valley unified school district,Golden Valley Unified,100,
st. helena unified school district,Saint Helena Unified,80,*
mariposa county unified school district,Mariposa County Unified,100,
corcoran joint unified school district,Corcoran Joint Unified,100,
